ano,mes,conselho,conta,conta_norm,soma_d,soma_c,n_lancamentos
2022,1,CFC,2.1.2.1.03.01.163,21210301163,700.89,700.89,2
2022,1,CFC,2.1.2.1.03.01.168,21210301168,2295.28,7928.7,2
2022,1,CFC,2.1.2.1.03.01.176,21210301176,20958.0,20958.0,2
2022,1,CFC,2.1.2.1.03.01.198,21210301198,399.74,399.74,2
2022,1,CFC,2.1.2.1.03.01.219,21210301219,4912.44,4912.44,2
2022,1,CFC,2.1.2.1.03.01.235,21210301235,1295.46,1287.31,2
2022,1,CFC,2.1.2.1.03.01.247,21210301247,11131.919999999998,11131.919999999998,8
2022,1,CFC,2.1.2.1.03.01.252,21210301252,121879.32,0.0,1
2022,1,CFC,2.1.2.1.03.01.259,21210301259,10752.71,10752.71,4
2022,1,CFC,2.1.2.1.03.01.275,21210301275,0.0,399.6,1
2022,1,CFC,2.1.2.1.03.01.300,21210301300,3300.0,3300.0,2
2022,1,CFC,2.1.2.1.03.01.304,21210301304,2490.0,0.0,1
2022,1,CFC,2.1.2.1.03.01.308,21210301308,0.0,3585.0,1
2022,1,CFC,2.1.2.1.03.01.332,21210301332,74359.98,0.0,2
2022,1,CFC,2.1.2.1.03.01.339,21210301339,1399.0,1399.0,2
2022,1,CFC,2.1.2.1.03.01.341,21210301341,90.0,0.0,1
2022,1,CFC,2.1.2.1.03.01.347,21210301347,376.0,733.2,3
2022,1,CFC,2.1.2.1.03.01.372,21210301372,36000.0,36000.0,2
2022,1,CFC,2.1.2.1.03.01.389,21210301389,2000.0,2000.0,2
2022,1,CFC,2.1.2.1.03.01.391,21210301391,0.0,3975.0,1
2022,1,CFC,2.1.2.1.03.01.403,21210301403,71127.21,43561.22,3
2022,1,CFC,2.1.2.1.03.01.408,21210301408,0.0,66616.7,1
2022,1,CFC,2.1.2.1.03.01.455,21210301455,4130.0,4130.0,12
2022,1,CFC,2.1.2.1.03.01.477,21210301477,1468.61,1468.61,2
2022,1,CFC,2.1.2.1.03.01.485,21210301485,0.0,438.3,1
2022,1,CFC,2.1.2.1.03.01.535,21210301535,728.15,728.15,2
2022,1,CFC,2.1.2.1.03.01.543,21210301543,87403.65,14143.42,5
2022,1,CFC,2.1.2.1.03.01.563,21210301563,2271.57,0.0,1
2022,1,CFC,2.1.2.1.03.01.579,21210301579,1263.58,1263.58,2
2022,1,CFC,2.1.2.1.03.01.601,21210301601,438991.39,438991.39,2
2022,1,CFC,2.1.2.1.03.01.625,21210301625,117446.56,117811.78,5
2022,1,CFC,2.1.2.1.03.01.628,21210301628,3054.95,3054.95,2
2022,1,CFC,2.1.2.1.03.01.632,21210301632,0.0,1404.84,1
2022,1,CFC,2.1.2.1.03.01.760,21210301760,86615.05,86615.05,2
2022,1,CFC,2.1.2.1.03.01.776,21210301776,57541.68,59572.26,6
2022,1,CFC,2.1.2.1.03.01.781,21210301781,23765.35,23765.35,2
2022,1,CFC,2.1.2.1.03.01.832,21210301832,34563.35,34563.35,2
2022,1,CFC,2.1.2.1.03.01.885,21210301885,2395.0,2395.0,2
2022,1,CFC,2.1.2.1.03.01.895,21210301895,726.94,458.13,2
2022,1,CFC,2.1.2.1.03.01.957,21210301957,133497.32,132919.21,2
2022,1,CFC,2.1.2.1.03.01.960,21210301960,2198.0,0.0,1
2022,1,CFC,2.1.2.1.03.01.979,21210301979,4050.0,0.0,1
2022,1,CFC,2.1.2.1.03.01.983,21210301983,1748.21,1748.21,2
2022,1,CFC,2.1.2.1.03.01.991,21210301991,220.0,100.0,2
2022,1,CFC,2.1.3.1.01.01.003,21310101003,36510.0,37560.0,37
2022,1,CFC,2.1.3.1.01.01.007,21310101007,2264.64,1974.27,7
2022,1,CFC,2.1.3.1.01.01.027,21310101027,11748.97,7007.19,3
2022,1,CFC,2.1.3.1.01.01.028,21310101028,8812.119999999999,0.0,2
2022,1,CFC,2.1.3.1.01.01.031,21310101031,11079.14,8833.38,3
2022,1,CFC,2.1.3.1.01.01.038,21310101038,29282.08,0.0,1
2022,1,CFC,2.1.3.1.01.01.039,21310101039,33178.54,0.0,3
2022,1,CFC,2.1.3.1.01.01.043,21310101043,2512.17,0.0,1
2022,1,CFC,2.1.3.1.01.01.046,21310101046,78147.56,0.0,2
2022,1,CFC,2.1.4.1.01.01.001,21410101001,376841.21,138380.15,8
2022,1,CFC,2.1.4.1.01.01.002,21410101002,85398.19,39665.4,6
2022,1,CFC,2.1.4.1.01.01.003,21410101003,27668.699999999997,11048.6,5
2022,1,CFC,2.1.4.1.01.01.004,21410101004,3466.09,1383.8000000000002,5
2022,1,CFC,2.1.4.1.01.02.001,21410102001,68.15,103236.79,4
2022,1,CFC,2.1.4.1.01.02.002,21410102002,16.95,24305.94,5
2022,1,CFC,2.1.4.1.01.02.003,21410102003,5.45,8238.5,4
2022,1,CFC,2.1.4.1.01.02.004,21410102004,0.0,1031.69,2
2022,1,CFC,2.3.1.1.01.01.001,23110101001,55259.0,2459.0,2
2022,1,CFC,2.3.1.1.03.01.001,23110301001,10200902.62,0.0,1
2022,1,CFC,2.3.1.1.03.01.002,23110301002,0.0,10256161.62,2
2022,1,CFC,2.3.1.1.04.01.001,23110401001,0.0,1823922.27,1
2022,1,CFC,2.3.1.1.04.01.002,23110401002,1823922.27,0.0,1
2022,1,CFC,3.1.1.1.01.01.001,31110101001,1289080.9,68781.04000000001,8
2022,1,CFC,3.1.1.1.01.01.002,31110101002,413362.54,12510.66,24
2022,1,CFC,3.1.1.1.01.01.003,31110101003,234090.36000000002,0.0,4
2022,1,CFC,3.2.1.1.01.01.001,32110101001,12717.76,0.0,1
2022,1,CFC,3.3.1.1.01.01.001,33110101001,6315.4800000000005,0.0,7
2022,1,CFC,3.3.1.1.01.01.002,33110101002,574536.19,0.0,77
2022,1,CFC,3.3.1.1.01.01.003,33110101003,176964.74,0.0,8
2022,1,CFC,3.4.1.1.01.01.002,34110101002,374.7,0.0,25
2022,1,CFC,3.6.1.1.01.01.001,36110101001,24203.649999999998,0.0,2
2022,1,CFC,3.9.1.1.01.01.002,39110101002,16013.349999999999,0.0,4
2022,1,CFC,4.1.1.1.01.01.002,41110101002,0.0,57067000.0,1
2022,1,CFC,4.3.1.1.01.01.001,43110101001,0.0,109598.59000000001,10
2022,1,CFC,4.3.1.1.01.01.004,43110101004,0.0,917823.36,13
2022,1,CFC,5.4.1.1.02.01.001,54110201001,0.0,444261.31,1
2022,1,CFC,5.4.1.1.02.01.002,54110201002,0.0,129008.21,1
2022,1,CFC,5.4.1.1.02.01.003,54110201003,0.0,598638.75,1
2022,1,CFC,5.4.1.1.02.01.006,54110201006,0.0,543108.28,1
2022,1,CFC,5.4.1.1.02.01.007,54110201007,0.0,4569.88,1
2022,1,CFC,5.4.1.1.02.02.002,54110202002,0.0,136881.12,1
2022,1,CFC,5.4.1.1.02.02.004,54110202004,0.0,235206.01,4
2022,1,CFC,5.4.1.2.02.02.004,54120202004,52800.0,2459.0,4
2022,1,CFC,6.2.1.1.02.01.001,62110201001,0.0,12429.67,19
2022,1,CFC,6.2.1.1.02.01.002,62110201002,0.0,61350.43,20
2022,1,CFC,6.2.1.1.02.01.003,62110201003,0.0,97076.13,21
2022,1,CFC,6.2.1.1.02.01.004,62110201004,0.0,12272.65,20
2022,1,CFC,6.2.1.1.02.01.005,62110201005,0.0,280631.86,20
2022,1,CFC,6.2.1.1.02.01.006,62110201006,0.0,155047.14,20
2022,1,CFC,6.2.1.1.02.01.007,62110201007,0.0,241833.56,20
2022,1,CFC,6.2.1.1.02.01.008,62110201008,0.0,190155.99,21
2022,1,CFC,6.2.1.1.02.01.009,62110201009,0.0,248070.75,22
2022,1,CFC,6.2.1.1.02.01.010,62110201010,0.0,85188.47,20
2022,1,CFC,6.2.1.1.02.01.011,62110201011,0.0,1423145.83,21
2022,1,CFC,6.2.1.1.02.01.012,62110201012,0.0,162118.71,22
2022,1,CFC,6.2.1.1.02.01.013,62110201013,0.0,142342.07,21
2022,1,CFC,6.2.1.1.02.01.014,62110201014,0.0,156563.1,20
2022,1,CFC,6.2.1.1.02.01.015,62110201015,0.0,92600.97,21
2022,1,CFC,6.2.1.1.02.01.016,62110201016,0.0,280505.68,20
2022,1,CFC,6.2.1.1.02.01.017,62110201017,0.0,90480.71,21
2022,1,CFC,6.2.1.1.02.01.018,62110201018,0.0,847175.06,21
2022,1,CFC,6.2.1.1.02.01.019,62110201019,0.0,1163124.65,20
2022,1,CFC,6.2.1.1.02.01.020,62110201020,0.0,103990.17,22
2022,1,CFC,6.2.1.1.02.01.021,62110201021,0.0,74304.81,20
2022,1,CFC,6.2.1.1.02.01.022,62110201022,0.0,16880.37,21
2022,1,CFC,6.2.1.1.02.01.023,62110201023,0.0,823111.45,22
2022,1,CFC,6.2.1.1.02.01.024,62110201024,0.0,635452.45,21
2022,1,CFC,6.2.1.1.02.01.025,62110201025,0.0,57403.94,20
2022,1,CFC,6.2.1.1.02.01.026,62110201026,0.0,3312171.52,21
2022,1,CFC,6.2.1.1.02.01.027,62110201027,0.0,50145.53,20
2022,1,CFC,6.2.1.3.05.01.004,62130501004,0.0,917823.36,13
2022,1,CFC,6.2.9.1.01.01.001,62910101001,11733397.03,0.0,60
2022,1,CFC,6.3.1.1.01.01.001,63110101001,824764.86,0.0,1
2022,1,CFC,6.3.1.1.01.01.003,63110101003,183521.11,0.0,1
2022,1,CFC,6.3.1.1.01.01.004,63110101004,103236.79,0.0,3
2022,1,CFC,6.3.1.1.01.01.005,63110101005,138380.15,68781.04000000001,4
2022,1,CFC,6.3.1.1.01.01.006,63110101006,38548.19,0.0,2
2022,1,CFC,6.3.1.1.01.01.007,63110101007,629.8,0.0,1
2022,1,CFC,6.3.1.1.01.02.001,63110102001,299807.03,9011.33,9
2022,1,CFC,6.3.1.1.01.02.002,63110102002,100562.60999999999,3103.85,8
2022,1,CFC,6.3.1.1.01.02.003,63110102003,12992.9,395.48,7
2022,1,CFC,6.3.1.1.01.03.001,63110103001,1610.52,0.0,2
2022,1,CFC,6.3.1.1.01.03.002,63110103002,97687.06,0.0,2
2022,1,CFC,6.3.1.1.01.03.003,63110103003,132919.21,0.0,1
2022,1,CFC,6.3.1.1.01.03.004,63110103004,1287.31,0.0,1
2022,1,CFC,6.3.1.2.01.01.001,63120101001,242.0,0.0,1
2022,1,CFC,6.3.1.2.01.01.002,63120101002,12475.76,0.0,2
2022,1,CFC,6.3.1.3.01.02.001,63130102001,687.1,0.0,1
